participantId,group,lecture_type,practice_type,trialId,responseId,question_label,responsePrompt,answer,score,coder_notes,duration,cleanedDuration
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would be weaker because .25 is less than .5.,NA,NA,98076,98076
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope would increase,NA,NA,98076,98076
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correalation is group, slope is direction.",NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,no idea,NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would be slightly more apart but value would stay the same,NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would stay at the same alignment but be rising at a lower rate.,NA,NA,96506,96506
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,they dont have the same rate.,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,they follow each other and changes if one changes.,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I dont have a clue,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,my best guess would be it would be positive,NA,NA,94542,94542
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,correlation can be absolutely anywhere on the map,NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"the slope goes in the same direction as correlation, usually",NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would stay about the same?,NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would stay the same also?,NA,NA,102993,102993
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,im honestly not sure.,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,i honestly have no clue.,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",i think it would go up,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,go down.,NA,NA,47577,47577
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,slope is more associated with the y axis,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I have no idea.,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I think the slope would change but I have no idea.,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,I think it would decrease?,NA,NA,63550,63550
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,I cannot think of any. This is really confusing to me and it would be helpful to be able to reference the bullet points from the lesson.,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,Correlation means plots are closer together and slope can be more evenly distributed,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",Correlation would go down,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,Slope would be about the same,NA,NA,177895,177895
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"When flipping the x and y, correlation stays the same, but slope changes.",NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,They do both tie in to change and relations.,NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",It would stay the same,NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,It would change,NA,NA,65435,65435
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"Sometimes if the dots are spread out, the slope could be going, for example, negatively, but the correlation could mean something different.",NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I think that when the slope is changed for example to a positive direction than the correlation will be positive.,NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I think it could change it to a negative slope.,NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,It would turn to a negative slope,NA,NA,104126,104126
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"scale and units, range, symmetry, what they measure",NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"Direction, linearity, standardization, predictive links",NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would stay exactly the same 0.5,NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,if you switch x and y the slope isd going to change it will be the reciprocal of the original slope from.25 to 4.o,NA,NA,1034889,1034889
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation is bounded between -1 and 1.
correlation is dimensionless slope has units",NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"both indicate the direction of the relationship
both are 0 if no linear relationship",NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correclation remains exactly the same 0.5 as it measures the strenghth of the relationship,NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope would change. it becomes the reciprocal of the original,NA,NA,118776,118776
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,negative or positive?,NA,NA,103585,103585
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,the points create the slope and spread out they create the correlation?,NA,NA,103585,103585
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would be negative?,NA,NA,103585,103585
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would reverse?,NA,NA,103585,103585
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,Correlation refers to the strength and direction of the linear line while slope focuses on change.,NA,NA,266291,266291
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"They both try to describe the relationship between x and y.
Both can help with identifying direction (positive or negative).",NA,NA,266291,266291
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",Correlation does not change when switching variables.,NA,NA,266291,266291
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,The slope will become -0.25,NA,NA,266291,266291
695bbdf21fd961458dd7390f,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,A slope can be present in a negative or positive way. but the cluster points are these slopes could be varying and have no bearing on the slope.,NA,NA,163707,163707
695bbdf21fd961458dd7390f,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,Slopes can be determined by the correlation. Meaning they affect each other depending on their data.,NA,NA,163707,163707
695bbdf21fd961458dd7390f,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would be negatively affected.,NA,NA,163707,163707
695bbdf21fd961458dd7390f,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,The slope would become greater or positive.,NA,NA,163707,163707
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"Aa slope is based upon the line of best fit whereas correlation is based upon how close the points change together. Slope is not bounded, but correlations are bounded between -1 and 1",NA,NA,112473,112473
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"Both measure strength of two linear relationships, both can take on positive and negative values",NA,NA,112473,112473
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would not change,NA,NA,112473,112473
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,"The slope would change, as it would be reflected",NA,NA,112473,112473
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,not sure,NA,NA,165691,165691
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I'm not entirely sure,NA,NA,165691,165691
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",would go negative,NA,NA,165691,165691
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,decresere,NA,NA,165691,165691
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,amount of data points and parameters will set the max and min,NA,NA,100497,100497
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,the slope can be drawn as the regression line and the tighter the other points are and distance from regression line,NA,NA,100497,100497
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation remains the same,NA,NA,100497,100497
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope remains the same,NA,NA,100497,100497
