participantId,group,lecture_type,practice_type,assessment_connection_q-different,assessment_connection_q-same,assessment_connection_switch-question-response-a,assessment_connection_switch-question-response-b
69bad0d8d699e854ef8e8184,CC,Control,Control,"correlation can be stronger or weaker, while slope can only be bigger or smaller",both tell us about the relationship between two things. both can be positive or negative. both us the line of best fit as an averaging point,it would stay the same,it would change
69c440c36f9c43fe1266a56b,CC,Control,Control,correlation can be with slope but slope cannot be correlation,correlation to me is that it hugs the line which is slope but slope cannot be correlation but it can bump up to it or be surrounded,the correlation would stay the same,the slope would decrease
69c59eeb6b373bc928a1aba9,CC,Control,Control,"- slope is measuring the rate of change and correlation is measuring the relationship 
","- can be measured on a graph
- are used to collect data efficiently 
- can be negative or positive 
- both can equal zero",it would be negative,it would be negative .25??
69d5bc72bf90388665397b6e,CC,Control,Control,"correlation is how two variables relate to each other, and then the slope just gives an average of all your data points",they both have to do with how two variables relate to each other. they are also quantified using a similar number system. they are both shown on a graph/scatterplot,the correlation would remain the same,it would change signs
69e293f57120947b9a8408de,CC,Control,Control,"correlation is unitless slope has units
correlation measure strength of relationship, slope measures rate of change","both describe linear equation
both have same sign",correlation does not change when X and Y are switched,New slope is equal to zero
69e7ac40430645b3492b7f1b,CC,Control,Control,slope is a visual and correlation is the data,slope is typically used in relation to correlation as slopes help represent or interpret the relation of data or physical things. correlation is typically used in conversation or data sheets to also determine the relation of things.,the correlation would be weaker because .25 is less than .5.,the slope would increase
69e96cde65aa9df15260c718,CC,Control,Control,"correalation is group, slope is direction.",no idea,it would be slightly more apart but value would stay the same,it would stay at the same alignment but be rising at a lower rate.
69e9f6a993985bfec2114d70,CC,Control,Control,they dont have the same rate.,they follow each other and changes if one changes.,I dont have a clue,my best guess would be it would be positive
69eae5f4f5ce43d5a34d388f,CC,Control,Control,correlation can be absolutely anywhere on the map,"the slope goes in the same direction as correlation, usually",it would stay about the same?,it would stay the same also?
69ecc0e01df33a8b5fa811f2,CC,Control,Control,im honestly not sure.,i honestly have no clue.,i think it would go up,go down.
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,slope is more associated with the y axis,I have no idea.,I think the slope would change but I have no idea.,I think it would decrease?
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,I cannot think of any. This is really confusing to me and it would be helpful to be able to reference the bullet points from the lesson.,Correlation means plots are closer together and slope can be more evenly distributed,Correlation would go down,Slope would be about the same
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,"When flipping the x and y, correlation stays the same, but slope changes.",They do both tie in to change and relations.,It would stay the same,It would change
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,"Sometimes if the dots are spread out, the slope could be going, for example, negatively, but the correlation could mean something different.",I think that when the slope is changed for example to a positive direction than the correlation will be positive.,I think it could change it to a negative slope.,It would turn to a negative slope
676276312d87ec9601be7d5c,CP,Control,PlotWise,"scale and units, range, symmetry, what they measure","Direction, linearity, standardization, predictive links",The correlation would stay exactly the same 0.5,if you switch x and y the slope isd going to change it will be the reciprocal of the original slope from.25 to 4.o
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,"correlation is bounded between -1 and 1.
correlation is dimensionless slope has units","both indicate the direction of the relationship
both are 0 if no linear relationship",the correclation remains exactly the same 0.5 as it measures the strenghth of the relationship,the slope would change. it becomes the reciprocal of the original
67eec9e200be02ad51843d9b,CP,Control,PlotWise,negative or positive?,the points create the slope and spread out they create the correlation?,it would be negative?,it would reverse?
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,Correlation refers to the strength and direction of the linear line while slope focuses on change.,"They both try to describe the relationship between x and y.
Both can help with identifying direction (positive or negative).",Correlation does not change when switching variables.,The slope will become -0.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,A slope can be present in a negative or positive way. but the cluster points are these slopes could be varying and have no bearing on the slope.,Slopes can be determined by the correlation. Meaning they affect each other depending on their data.,The correlation would be negatively affected.,The slope would become greater or positive.
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,"Aa slope is based upon the line of best fit whereas correlation is based upon how close the points change together. Slope is not bounded, but correlations are bounded between -1 and 1","Both measure strength of two linear relationships, both can take on positive and negative values",The correlation would not change,"The slope would change, as it would be reflected"
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,not sure,I'm not entirely sure,would go negative,decresere
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,amount of data points and parameters will set the max and min,the slope can be drawn as the regression line and the tighter the other points are and distance from regression line,the correlation remains the same,the slope remains the same
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,Slope shows direction of relation while correlation shows strength of relation,Show relationship between variables,unchanged,changed
69b64051157b8364c2a0afa6,CP,Control,PlotWise,"The correlation can be scattered therefore leading to an unpredictable slope.  If the correlation is significantly off or not very directly impactful, the slope would have drastic changes.",Correlation is the way the data points affect the slope & the variables.,The correlation would stay the same,The slope would go negative
69baaee936d901eb8e30d457,CP,Control,PlotWise,"Strong negative correlation but a slope that's closer to zero, strong positive correlation but a slope that's closer to zero",Straight horizontal regression line with the dots scattered across the whole plot but nowhere near the line (so it's zeroed out),Correlation is symmetric so it would remain the same.,The slope would change drastically (but I can't remember exactly how)
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,with very low correlation and very hign slope,a vertical line or a horozontal line,It would flip,stay the same
69defab23a249a0b519c8f6d,CP,Control,PlotWise,"They represent different ways of measuring plot points. Slope is the rate of change, while correlation is how strong the relationship is between points.",Both slope and correlation measure the same overall direction.,The correlation would not change.,"The slope would reverse, making it -.25."
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,correlation measures strength of the relationship between variables while slope measures the rate of change,"If correlation is positive the slope is positive and vice versa
when there is no relation between the variables both level at zero
","Nothing, the correlation will stay the same",The slope will shift
69e696140295abac7fb9c28b,CP,Control,PlotWise,Correlation deals with regression line and slope does not.  Slope equals the rate of change and correlation does not.,"They are both either positive, negative or zero. They both deal with horizontal and vertical lines",The correlation would stay the same,The slope would change to the opposite direction
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,"Correlation doesn't depend on number of points, where slope has a number of points.  Correlation is between -1 and 1.  Correlation also does not change whenh switching between x and y, where slope does.   Slope depends on the scale of the variable points.",Both describe the relationship between variable.  They both indiciate a direction.  Both come from the same data set of information.  If correlation is 0 then slope is also 0.,The correlation would stay the same,It would change.
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,if the correlation does not come close to the slope. if the correlation is scattered.,When correlation matches or closes in around the slope.,it would remain the same.,the slope would change.
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,"Evn though the slope can be steep, the correlation - the plots on the graph can be all over the place, meaning the slope is always depicted as a straight line whereas the plot points can be disorganized or all over the place depending on the study results.",Visually slope and correlation are easy too initially spot because of the density of the plots and the degree of the line,No my brain is getting confused even though I do understand the concepts,The slope would go downward in a negative direction.
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,Correlation follows direction via points on a graph while a slope depends on a line.,The slope and correlation both describe the relationship on a graph and show positive or negative directions.,The correlation would mostly remain the same.,The slope would climb up at a slightly more higher direction up.
66d88375799e00b593a8655f,PC,PlotWise,Control,"movement, direction, negative","direction, positive, negative",It would make the slope go to the negative,the slope would go down
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,no,no,"I don't know,  think it would probably decrease",I think it would probably become a mirror image of the original
69419e9576aea13f332266ff,PC,PlotWise,Control,Slope is how much the y axis changes by 1 unit of x while correlation is how much the data fit within the best fit line,The stronger the slope the higher the correlation typically is,The correlation would decrease,The slope would increase
69442e09aea78e142db2e54f,PC,PlotWise,Control,"Correlation tells you whether or not the relationship is positive or negative, and the slop tells you the rate of change.","They both represent the relationship of the data points, and they both help you the trend of the best fit line.",The correlation would still be positive.,The slope would decrease.
69457dc95341cec41fca5695,PC,PlotWise,Control,"Slope shows the relationship trend, while correlation shows the strength of that relationship.",They both help to visualize the data points on the graph. They both use linear measurement to explore details of data relationships.,The correlation would stay the same.,The slope would be reversed and changed.
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,"Number of left-handed people over time vs price of timber.
Number of supermarkets per square miles vs worldwide conflicts.","Quality of food eaten vs overall health.
Crime committed in a neighborhood vs average income in the neighborhood.",The correlation would stay the same,The slope angle would change
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,you can have a positive or negative slope and the correlation can be the opposite. switching the variables doesn't affect correlation but it does for slope.,they measure the relationship between variables,The correlation would stay the same,change
69afafce3f7970642a6dc071,PC,PlotWise,Control,"What they measure, the units they measure and what affects them and their range of value.",The both describe relationships between two variables. They show direction both positive and negative. They both come from the same data.,Nothing,The slope would move accordingly.
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,"formula
change as axes are swiched","based on data points
measure a change",would stay the same,would change
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,"Correlation is always between -1 and 1, while slope can be any negative number to positive infinity. Correlation does not have units but slope does. Correlation stays the same if you change the variables (X and Y), whereas slope changes completely when variables or axes are changed.",Both always share the same sign. Both specifically measure the strength of linear relationships. Both the slope and correlation would be zero if there is no linear relationship. Both require to variables (X and Y).,The correlation would remain the same because it measures the mutual relationship between variables regardless of which one is X or Y.,The slope would change and become 1.
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,"Correlation measures how string the relationship is, in other words if there is a lot of varaince in the relationship. Slope measures the direction and strength of the relationship, i.e. how big or small a change in one variable has on the other.",Slope and correlation both measure the rate of change between two variables,The correlation would remain the same,The slope you change to 4
69c13c0ad9ea03501703d527,PC,PlotWise,Control,The correlation (r) has to be between -1 and 1. The slope can be any number.,They both are integers. They can both be positive or negative values.,"I think the correlation would change, but I'm not sure how to describe it. If the slope changes, then the points will now not be in the same position relative to the slope.",The slope will be much steeper. The slope will now be 4.
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,"they can be a different value, they are scattered.","they show a trend of information, they can be the same value.",It would jump into the positive range,it would become flatter.
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,"Slope lists rate of change, and correlation lists how accurate the rate of change is for the dataset.","Slope and correlation both describe qualities of scatter plots, they both are used to help identify trend.",Correlation would not change since X and Y are still equally related,"The slope would change, you would have to find its inverse to get an accurate slop"
69e913482ae5864d44e6387c,PC,PlotWise,Control,Slope is a rate of change whereas correlation is how points are arranged among the target line.,They tell us the relationship between two variables and changes in perception of two variables.,The correlation would be smaller between the two tested variables.,The slope would be less steep.
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,"correlation show strength of relationship, while slpe shows steepness of a line",both describe relationships between X and Y. Both show direction s postive or negative,the correlation stays the same at 0.5,it becomes 4
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,"Slope is rate of change, correlation is relative strength
Slope can be any integer, correlation can only be between -1 and 1","Slope and correlation both involve relationships between the x and y variables. 
Slope and correlation both give insight into scatterplots and other graphing agents.",stay the same,it would be 4 instead of 1/4
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,"Correlation changes based on how close or far apart the points on the graph are, while slope does not.  Slope changes based on the specific placement of points on the graph while correlation is based on the relationship of the points to each other.",Slope and correlation both help explain the way a graph looks.  They both are determined by the relationship between multiple points on the graph.,"Nothing, the correlation would stay the same.",The slope would change dramatically
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,"they do different things, one can be switched if the axis changes",They're both math and statistics. they both tell you the relationship between two variables,The correlation would stay the same,It would be the same but switched based on the axis change
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,Slope and correlation are rarely the same number.  Slope and correlation measure two different things.,Their sign is the same.  Slope of a scatterplot is the trend graph.  Slope and correlation are usually proportional.,Correlation would stay the same.,The slope would be a reciprocal.
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,Correlation is constrained between -1 and 1 while slope can be infinite in either direction.,THey both have positive and negative values.  They can both be 0.,Nothing.  It would stay the same. .5,The slope would be flipped.  4?
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,"Slope is how 2 numbers are related, and correlation is how closely those 2 sets of numbers are related.","I don't think they're the same, I just think they're related.",Nothing would happen,The slope would change
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,"correlation can be either -1.0, +1",when both are at zero,correlation would get stronger,the slope would change
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,slope can be greater or less than 1 and -1. R is always between -1 and 1.,I think they are both close to zero at the same time. I think they share the negative and positive status,r is symmetrical. correlation would stay the same.,We would have a reciprical slope.
67204af156acf704058c6e66,PP,PlotWise,PlotWise,Slope considers a line of best fit between all data points while correlation refers to the way individual points are related,They both describe the relationship between points within a data set,The correlation remains the same,The slope inverts and becomes negative
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,"if you change axis, slope changes but correlation stays the same.",same as the both either positive negative or neither .,"correlation, would stay the same.","slope would change, becuase rise over run would change."
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,units scale and switching variables,direction and zero point,It would stay the same,It would change recaculated based on new rise over run
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,I do not understand the concepts well enough to be able to describe the relationship.,I do not understand the concepts well enough to be able to describe the relationship.,I do not understand the concepts well enough to be able to describe the relationship.,I do not understand the concepts well enough to be able to describe the relationship.
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,Slope describes the rate of change between variables and correlation describes strength and direction of a relationship between variables,They both describe relationships between two variables and they both go in the same direction,The correlation would not change,The slope would change
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,The sign and the points,When they have both to be positive,It will become strong negative correlation,The slope will be negative
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,They are related but are different functions of the graph,Unsure,Nothing,It would change
69d6384637b632d34190012d,PP,PlotWise,PlotWise,Slope deals with how much something changes. The correlation deals with how closely those data points relate to each other.,"Both are data points with using two variables, the predictor and the outcome. Both can show strength or weakness.",stay the same,it would be the opposite
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,slope measures change and correlation measures the strength and direction of the relationship,they reprsent a relationship between x and y,it would remain the same,it would become inverted
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,slope has units. Correlation is unitless. Slope can be any number while correlation is -1 and +1. Slope is not symmetric. Correlation is symmetric.,both describe relationships between two variables. Both show direction. Both come from linear relationships. Both based on how variables vary together. Both can equal 0 when there is no linear relationship.,the correlation would stay exactly the same,the slope would change.
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,"Slope is an inference of what a line would look like given the average of many datapoints, but the correlation is what actually creates the line. The correlation are the real data points, but slope is a pattern extrapolated from the real data.","They are the same in that they both follow the same general line shape. They both demonstrate the same trend of slope, but one does it more obviously.",It stays the same.,It flips.
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,One describes the relationship of data points to each other (slope) and the correlation describes the data points in relation to the overall trend.,They're not really the same.,The correlation wouldn't change.,The slope would invert.
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,"Correlation is stuck as being either -1, 0, 1 while slope can be of any value. Correlation is able to be swapped from X to Y and vice versa without changing, whereas slope will typically change to a different value.","Both will have the same sign, either positive or negative. If the variables have no linear relationship then they will both have a value of zero.",It would stay the same.,The slope to 0.5.
