participantId,group,lecture_type,practice_type,pre_q-class-level,pre_q-class-taken,pre_q-class-time,pre_q-correlation,pre_q-grade,pre_q-how-many,pre_q-slope
69d5bc72bf90388665397b6e,CC,Control,Control,College (undergraduate),Yes,1 year ago,"correlation is like, how connected two variables are. like how much changes in variable x cause changes in variable y",C,2,its a line.. it shows relationship between x axis and y axis. or something
69e293f57120947b9a8408de,CC,Control,Control,College (undergraduate),Yes,NA,It measures how two variables move together,B,4,It tells you how steep a line is
69e7ac40430645b3492b7f1b,CC,Control,Control,College (undergraduate),Yes,over 4 years,A connection between two things.,B,2,A downward shape or a word used to describe a downward appearance of an object.
69e96cde65aa9df15260c718,CC,Control,Control,High school,Yes,11 years,how two things relate to the same idea,I don't remember,1,an angle either increasiong or decreasing
69e9f6a993985bfec2114d70,CC,Control,Control,High school,No,NA,something that is related in some way shape or form.,I don't remember,NA,an incline or decline
69eae5f4f5ce43d5a34d388f,CC,Control,Control,High school,No,NA,a connection of one thing to another,I don't remember,NA,a slope is a large decrease
69ecc0e01df33a8b5fa811f2,CC,Control,Control,NA,No,NA,something that relates to something. like if price of oil goes up gas goes up since they are correlated.,NA,NA,an incline or decline on a hill up or down.
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,NA,No,NA,The relationship between two things and how they are alike.,NA,NA,The steepness of a line
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,College (undergraduate),Yes,40 years ago,A correlation is when one statistical factor can be proven to directly relate to another statistical factor,A,NA,A slope is the positive or negative direction of statistical information.
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,High school,No,NA,Correlation is when they are related.,I don't remember,NA,It's like an upward trajectory of a line.
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,College (undergraduate),Yes,18 years,When numbers are realted in a graph and in comparison to each other.,A,1,"This is the trend in the numbers on a graph, for example if numbers are high, then they go down to a lower number. There's a steep slope."
676276312d87ec9601be7d5c,CP,Control,PlotWise,College (undergraduate),Yes,10,A Correlation measures the strength and direction of a relationship between two variables,C,1,The slope is the rate of change between two variables representing the steepness of a line as rise over run in a linear equation
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,College (undergraduate),Yes,5 years,a statitical measure that describes how 2 veriables move together,A,1,i would say the rate of change in a linear relationship
67eec9e200be02ad51843d9b,CP,Control,PlotWise,NA,No,N/A,It is somethat that can be ascribed two 2 or more items or ideas,NA,NA,a gradual rise of the terrain
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,College (undergraduate),Yes,4 years ago,Correlation usually refers to two variables or lines and how they move together. Positive correlation= increase. Negative correlation = decrease.,B,1,A slope shows how something changes when another thing changes (variables).
695bbdf21fd961458dd7390f,CP,Control,PlotWise,College (undergraduate),Yes,20,A connection to one thing to another.,I don't remember,1,A uphill or downhill portion of land of object.
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,Graduate school,Yes,Currently,The standardized quantification of the linear association between two variables,A,5 or more,The estimated change in an outcome for every one unit increase in a predictor variable
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,NA,No,NA,something of similar aspects,NA,1,a decline of something
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,NA,No,NA,an association between two or more things.,NA,NA,the rate of change
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,College (undergraduate),Yes,4 years ago,Variables that are related (affect each other),A,1,change in y-axis divided by change in x-axis (curve of line)
69b64051157b8364c2a0afa6,CP,Control,PlotWise,High school,No,NA,A correlation is how one variable directly impacts or affects the other.,B,NA,A slope is the amount of correlation between the two variables.
69baaee936d901eb8e30d457,CP,Control,PlotWise,College (undergraduate),Yes,10 years,Two data points are connected in some way,B,2,The rate of change
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,High school,No,NA,when two or more values are compared for similarities and/or dissimilarities,I don't remember,NA,a slope describes the distance between two points on a graph
69defab23a249a0b519c8f6d,CP,Control,PlotWise,NA,No,NA,A correlation is a way that two or more things are related to each other.,NA,NA,I'm not sure what a slope is in this context.
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,High school,Yes,2 years ago,How variables relate with each other,A,5 or more,Is a steep
69e696140295abac7fb9c28b,CP,Control,PlotWise,College (undergraduate),Yes,20 years ago,A correlation is when you measure strength and direction and compare them.,A,1,A slope is steepness defined by a line that slants up or down.
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,College (undergraduate),Yes,17 years ago,"Correlation is where two things are related and how if one changes, so does the other.",B,3,Slope is the ratio of change.
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,NA,No,NA,When two things coincide with one another.,NA,NA,When an incline moves downward at a gradual angle.
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,College (undergraduate),Yes,35 years ago,Ho one thing (behavior) is relative to another behavior.,I don't remember,1,I believe a slope is the degree a measurement decreases or increases compared to a previous or after the peak of the participants results.
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,College (undergraduate),Yes,7 years ago,A correlation is the combination of two different variables or things and how strong they connect with each other.,B,1,A slope is a measure of how steep something is with its direction.
66d88375799e00b593a8655f,PC,PlotWise,Control,NA,No,NA,A correlation is how two things are related to each other.,NA,NA,A slope id a downward trend in and abject or a trend.
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,High school,No,never,a factor that occurs in tandem with one or more other factors,I don't remember,1,I don't know what slope means in this context
69419e9576aea13f332266ff,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,A correlation is how two or more variables are related to each other,A,1,A slope is rise over rune
69442e09aea78e142db2e54f,PC,PlotWise,Control,High school,Yes,3 years ago.,"The relationship between 2 data points/concepts (i.e positive correlation, negative correlation).",A,1,"A slope is a line on a graph that shows all the data points, usually in a linear manner."
69457dc95341cec41fca5695,PC,PlotWise,Control,High school,Yes,25,The relationship between two data sets.,I don't remember,1,The angle of a line drawn to visually represent the relationship between two data points.
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,NA,No,NA,It is the link between A and B (for example the price of oil rising is linked to the war in Iran).,NA,NA,It is the visualization of a trend.
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,High school,Yes,6,The relationship between two variables,A,1,The degree at which something changes
69afafce3f7970642a6dc071,PC,PlotWise,Control,College (undergraduate),Yes,10 years,2 things moving together,C,1,An angel going downward
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,College (undergraduate),Yes,25,a correlation is a relationship. it is how things are related.,A,1,Slope is the rate of change. Sometimes referred to as rise over run.
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,College (undergraduate),Yes,5,"A measure that describes the strength and direction of the relationship between two variables, indicating how they change together.",A,2,"A numerical value that describes the steepness and direction of a line, calculated as the ratio of the rise to the run between two points."
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,College (undergraduate),Yes,7 years,"A correlation measures how closely two variable are related, how they change together",A,5 or more,A slope measures the steepness and direction of a line on a graph.
69c13c0ad9ea03501703d527,PC,PlotWise,Control,College (undergraduate),Yes,5 years ago,I think it's the relationship between the x and y axis.,A,1,I think it is rise/run.
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,NA,No,NA,It means similarities.,NA,NA,a slope is a decline or a plane that goes downwards.
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,College (undergraduate),Yes,1,The relation between one variable occuring and another,A,2,Slope is the rise over run of a linear graph
69e913482ae5864d44e6387c,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,"Correlation is whether there is an association between two topics, objects, or general things.",A,3,A slope is rise over run.
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,its show how two things are related,B,2,its how steep a line is
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,College (undergraduate),Yes,6 years ago,Correlation refers to the relationship between x and y variable.,C,1,Slope is the rate of change
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,NA,No,NA,A correlation is when two separate things have a trend in common or can be related to one another.,NA,NA,Slope is the change in a line graph's y-axis coordinates.
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,High school,Yes,10 years ago,The relationship between two factors,A,1,The line between two points on a graph
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,College (undergraduate),Yes,20,statics measure expressing the extent to two variable liner relate and move together.,I don't remember,1,low quality.
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,College (undergraduate),Yes,33 years ago,It is a relationship between two or more entities.,B,2,Slope could be defined in a 2D system as rise over run.
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,College (undergraduate),Yes,20 years,When there is a relationship between 2 numbers.,A,1,The steepness of a line graph.
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,College (undergraduate),Yes,"in college, over 25 years",How things are related,B,2,Incline or decline
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,NA,No,NA,"When one number moves, the other number moves in the same direction.",NA,NA,y=mx+b. The steepness of a line.
67204af156acf704058c6e66,PP,PlotWise,PlotWise,High school,Yes,11,How two things or points are related,A,1,"The difference between two points, or the correlation between them I suppose"
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,College (undergraduate),Yes,8 years ago,How similar two sets are data are .,C,1,Slope is rate of change between two points.
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,NA,No,NA,How two things move in relation to each other,NA,NA,How steep the line is
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,College (undergraduate),Yes,19 years ago,Two things that have a relationship,A,1,Going up or down
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,High school,Yes,8 years ago,Correlation is a connection between two different variables,A,1,A line on a chart when you log y = mx + b
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,College (undergraduate),Yes,5,Correlation is a tistical tool that is used to measure the level of association between points,A,5 or more,A slope is a tool that shows a relationship between data points
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,High school,Yes,10 years ago,It is a relation between two things.,B,1,Slope is the angle of a shape or arc
69d6384637b632d34190012d,PP,PlotWise,PlotWise,NA,No,NA,how two things relate to each other,NA,NA,a gradual increase or decline in values over time
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,College (undergraduate),Yes,Currently in one,how an x and y variable tend to move (direction and strength),B,4,the change of some y variable over the change over some x variable
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,College (undergraduate),Yes,20 years ago,"A correlation is a statistical measure indicating the extent to which two or more variables fluctuate  together, representing a mutual relationship.",A,1,it represents the incline.
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,NA,No,NA,"I connection between values or variables, but one that isn't necessarily defined by a causal component.",NA,NA,"A slope is a change in the Y, or vertical axis value, as X increases by 1 unit"
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,High school,Yes,12 Years,Two things seemingly changing as one another changes.,B,1,The angle of the line between two statistical points.
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,High school,Yes,3,A correlation is the strength and direction of two variables' relationship.,A,1,A slope is a line that slants either upward or downward and represents vertical and horizontal change.
